title,url,vcn
历史频道 古代世界 之 决定性战役 第1集 中英字幕 纪录片之家字幕组,https://www.bilibili.com/video/av4258968,17000
【纪录片】 私家庄园揭秘 第二集 中英双语 纪录片之家字幕组,https://www.bilibili.com/video/av3792657,17000
【纪录片】自然界的微型奇迹【1080p】【双语特效字幕】【纪录片之家爱自然】,https://www.bilibili.com/video/av20015308,16000
【纪录片】极致山野 险境生灵 之 安第斯山脉【720p】【双语特效字幕】【纪录片之家爱自然】,https://www.bilibili.com/video/av17434302,16000
【OSF】狗狗秘闻【1080p】【纪录片之家爱自然】【双语特效字幕】,https://www.bilibili.com/video/av11665162,16000
【纪录片】原汁原味的贝多芬第五交响曲【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av11443801,16000
【纪录片】脚下的英国 1【双语特效字幕】【纪录片之家科技控】,https://www.bilibili.com/video/av10032860,16000
【SKY】微型猛兽 第五集【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av6694925,16000
【纪录片】金属制品之铁艺史话【720p】【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av6062434,16000
【国家地理】血腥伦敦塔 第一集 叛国者【双语字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av4721761,16000
【国家地理】与摩根·弗里曼探寻神的故事 5 邪恶之源【纪录片之家字幕组】,https://www.bilibili.com/video/av4622213,16000
野性斯里兰卡 第1集 双语字幕 纪录片之家字幕组,https://www.bilibili.com/video/av4201194,16000
【纪录片】舌尖上的中国第八集幕后花絮,https://www.bilibili.com/video/av21074467,15000
【纪录片】平克·弗洛伊德之《月之暗面》 【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av19074285,15000
【探索频道】奥斯曼帝国与基督教世界 - 欧洲之战 第二集【720p】【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av16891330,15000
【纪录片】中国游客在巴黎【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av16708463,15000
【纪录片】极致山野 险境生灵 之 喜马拉雅【720p】【双语特效字幕】【纪录片之家爱自然】,https://www.bilibili.com/video/av16640062,15000
【国家地理】食鲨虎鲸【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av9923977,15000
【探索频道】超级运输 第二集【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av9050144,15000
【SKY】起死回生 大卫·爱登堡探秘自然历史博物馆【双语字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av4862199,15000
【SKY】微型猛兽与大卫·爱登堡 第一集 冲突【双语字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av4829464,15000
【探索频道 】揭秘鲜血金字塔的诅咒【双语特效字幕】【纪录片之家科技控】,https://www.bilibili.com/video/av26175972,14000
【探索频道】飞行年代 1【双语特效字幕】【纪录片之家科技控】,https://www.bilibili.com/video/av18279697,14000
【PBS】非洲的伟大文明 1【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av17762223,14000
【探索频道】超级运输 第五集【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av14209484,14000
【探索频道】超级运输 第三集【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av10715035,14000
【纪录片】十万镑建房之装修诀窍 第二集【720p】【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av8156237,14000
【史密尼森】水下地狱-二战潜艇战 第四集 大西洋对决【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av7595271,14000
【纪录片】了不起的动物遗孤 第三集【双语特效字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av5265255,14000
【探索频道】机器大拆解 之 电锯等【双语字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av5044957,14000
【PBS 自然】动物重逢【双语字幕】【纪录片之家字幕组】,https://www.bilibili.com/video/av4613728,14000
